Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2011-11-30,99.82,PLN
2011-12-01,99.02,PLN
2011-12-02,99.74,PLN
2011-12-05,100.71,PLN
2011-12-06,99.78,PLN
2011-12-07,99.37,PLN
2011-12-08,97.80,PLN
2011-12-09,98.77,PLN
2011-12-12,97.17,PLN
2011-12-13,97.54,PLN
2011-12-14,95.63,PLN
2011-12-15,96.70,PLN
2011-12-16,96.28,PLN
2011-12-19,96.14,PLN
2011-12-20,98.15,PLN
2011-12-21,97.57,PLN
2011-12-22,98.52,PLN
2011-12-23,99.19,PLN
2011-12-27,99.23,PLN
2011-12-28,98.65,PLN
2011-12-29,99.52,PLN
2011-12-30,100.43,PLN
2012-01-02,101.72,PLN
2012-01-03,103.40,PLN
2012-01-04,102.76,PLN
2012-01-05,101.78,PLN
2012-01-09,101.29,PLN
2012-01-10,102.69,PLN
2012-01-11,102.71,PLN
2012-01-12,102.77,PLN
2012-01-13,102.52,PLN
2012-01-16,103.00,PLN
2012-01-17,103.95,PLN
2012-01-18,103.99,PLN
2012-01-19,105.49,PLN
2012-01-20,105.38,PLN
2012-01-23,105.71,PLN
2012-01-24,105.04,PLN
2012-01-25,104.60,PLN
2012-01-26,105.71,PLN
2012-01-27,105.05,PLN
2012-01-30,103.80,PLN
2012-01-31,104.64,PLN
2012-02-01,106.27,PLN
2012-02-02,106.45,PLN
2012-02-03,108.22,PLN
2012-02-06,108.15,PLN
2012-02-07,108.00,PLN
2012-02-08,108.08,PLN
2012-02-09,108.36,PLN
2012-02-10,107.13,PLN
2012-02-13,107.73,PLN
2012-02-14,107.52,PLN
2012-02-15,107.76,PLN
2012-02-16,107.99,PLN
2012-02-17,108.82,PLN
2012-02-20,109.96,PLN
2012-02-21,109.41,PLN
2012-02-22,108.52,PLN
2012-02-23,107.98,PLN
2012-02-24,108.50,PLN
2012-02-27,108.13,PLN
2012-02-28,108.15,PLN
2012-02-29,108.02,PLN
2012-03-01,108.84,PLN
2012-03-02,109.14,PLN
2012-03-05,108.53,PLN
2012-03-06,105.96,PLN
2012-03-07,106.61,PLN
2012-03-08,107.85,PLN
2012-03-09,108.66,PLN
2012-03-12,108.51,PLN
2012-03-13,110.47,PLN
2012-03-14,110.97,PLN
2012-03-15,111.39,PLN
2012-03-16,112.20,PLN
2012-03-19,112.16,PLN
2012-03-20,111.34,PLN
2012-03-21,111.14,PLN
2012-03-22,109.85,PLN
2012-03-23,110.00,PLN
2012-03-26,110.74,PLN
2012-03-27,110.61,PLN
2012-03-28,109.46,PLN
2012-03-29,108.24,PLN
2012-03-30,109.11,PLN
2012-04-02,110.16,PLN
2012-04-03,109.15,PLN
2012-04-04,106.87,PLN
2012-04-05,106.81,PLN
2012-04-10,104.47,PLN
2012-04-11,105.13,PLN
2012-04-12,105.76,PLN
2012-04-13,104.34,PLN
2012-04-16,104.24,PLN
2012-04-17,105.91,PLN
2012-04-18,105.09,PLN
2012-04-19,104.21,PLN
2012-04-20,104.94,PLN
2012-04-23,102.70,PLN
2012-04-24,103.58,PLN
2012-04-25,104.77,PLN
2012-04-26,104.85,PLN
2012-04-27,106.42,PLN
2012-04-30,105.88,PLN
2012-05-02,105.76,PLN
2012-05-04,104.18,PLN
2012-05-07,105.06,PLN
2012-05-08,104.44,PLN
2012-05-09,104.02,PLN
2012-05-10,105.43,PLN
2012-05-11,105.46,PLN
2012-05-14,103.56,PLN
2012-05-15,102.62,PLN
2012-05-16,102.14,PLN
2012-05-17,100.71,PLN
2012-05-18,100.52,PLN
2012-05-21,101.16,PLN
2012-05-22,102.38,PLN
2012-05-23,100.13,PLN
2012-05-24,100.95,PLN
2012-05-25,100.93,PLN
2012-05-28,101.31,PLN
2012-05-29,101.55,PLN
2012-05-30,100.00,PLN
2012-05-31,99.80,PLN
2012-06-01,98.37,PLN
2012-06-04,98.23,PLN
2012-06-05,98.60,PLN
2012-06-06,100.88,PLN
2012-06-08,101.40,PLN
2012-06-11,100.90,PLN
2012-06-12,101.17,PLN
2012-06-13,100.56,PLN
2012-06-14,100.62,PLN
2012-06-15,102.64,PLN
2012-06-18,102.55,PLN
2012-06-19,104.13,PLN
2012-06-20,105.87,PLN
2012-06-21,105.06,PLN
2012-06-22,104.69,PLN
2012-06-25,102.89,PLN
2012-06-26,102.73,PLN
2012-06-27,103.95,PLN
2012-06-28,103.49,PLN
2012-06-29,106.13,PLN
2012-07-02,107.64,PLN
2012-07-03,108.30,PLN
2012-07-04,108.26,PLN
2012-07-05,108.10,PLN
2012-07-06,107.04,PLN
2012-07-09,106.77,PLN
2012-07-10,107.37,PLN
2012-07-11,107.45,PLN
2012-07-12,106.33,PLN
2012-07-13,107.88,PLN
2012-07-16,108.28,PLN
2012-07-17,108.30,PLN
2012-07-18,109.31,PLN
2012-07-19,110.33,PLN
2012-07-20,108.89,PLN
2012-07-23,106.31,PLN
2012-07-24,105.50,PLN
2012-07-25,105.63,PLN
2012-07-26,108.02,PLN
2012-07-27,109.45,PLN
2012-07-30,111.34,PLN
2012-07-31,110.31,PLN
2012-08-01,110.52,PLN
2012-08-02,108.86,PLN
2012-08-03,111.33,PLN
2012-08-06,112.38,PLN
2012-08-07,113.74,PLN
2012-08-08,113.76,PLN
2012-08-09,113.93,PLN
2012-08-10,114.02,PLN
2012-08-13,113.70,PLN
2012-08-14,114.49,PLN
2012-08-16,115.24,PLN
2012-08-17,116.54,PLN
2012-08-20,115.83,PLN
2012-08-21,116.15,PLN
2012-08-22,115.12,PLN
2012-08-23,113.94,PLN
2012-08-24,113.79,PLN
2012-08-27,114.38,PLN
2012-08-28,113.49,PLN
2012-08-29,112.96,PLN
2012-08-30,112.44,PLN
2012-08-31,112.65,PLN
2012-09-03,113.24,PLN
2012-09-04,112.59,PLN
2012-09-05,112.51,PLN
2012-09-06,114.94,PLN
2012-09-07,116.15,PLN
2012-09-10,116.38,PLN
2012-09-11,116.73,PLN
2012-09-12,117.46,PLN
2012-09-13,117.06,PLN
2012-09-14,118.70,PLN
2012-09-17,118.36,PLN
2012-09-18,117.50,PLN
2012-09-19,117.85,PLN
2012-09-20,117.45,PLN
2012-09-21,117.96,PLN
2012-09-24,117.31,PLN
2012-09-25,117.46,PLN
2012-09-26,115.30,PLN
2012-09-27,115.64,PLN
2012-09-28,114.09,PLN
2012-10-01,115.34,PLN
2012-10-02,115.20,PLN
2012-10-03,115.04,PLN
2012-10-04,114.75,PLN
2012-10-05,115.69,PLN
2012-10-08,114.37,PLN
2012-10-09,114.12,PLN
2012-10-10,113.65,PLN
2012-10-11,114.45,PLN
2012-10-12,114.10,PLN
2012-10-15,114.28,PLN
2012-10-16,115.63,PLN
2012-10-17,116.91,PLN
2012-10-18,117.62,PLN
2012-10-19,116.80,PLN
2012-10-22,116.21,PLN
2012-10-23,114.41,PLN
2012-10-24,114.52,PLN
2012-10-25,114.28,PLN
2012-10-26,114.56,PLN
2012-10-29,113.69,PLN
2012-10-30,114.70,PLN
2012-10-31,114.02,PLN
2012-11-02,115.25,PLN
2012-11-05,114.37,PLN
2012-11-06,114.97,PLN
2012-11-07,113.71,PLN
2012-11-08,113.07,PLN
2012-11-09,112.79,PLN
2012-11-12,112.38,PLN
2012-11-13,112.05,PLN
2012-11-14,110.68,PLN
2012-11-15,109.62,PLN
2012-11-16,108.35,PLN
2012-11-19,111.59,PLN
2012-11-20,111.70,PLN
2012-11-21,112.44,PLN
2012-11-22,113.18,PLN
2012-11-23,113.92,PLN
2012-11-26,113.29,PLN
2012-11-27,113.21,PLN
2012-11-28,113.43,PLN
2012-11-29,115.28,PLN
2012-11-30,114.97,PLN
2012-12-03,115.08,PLN
2012-12-04,114.99,PLN
2012-12-05,116.01,PLN
2012-12-06,116.80,PLN
2012-12-07,116.63,PLN
2012-12-10,116.89,PLN
2012-12-11,117.68,PLN
2012-12-12,118.06,PLN
2012-12-13,118.08,PLN
2012-12-14,118.16,PLN
2012-12-17,118.18,PLN
2012-12-18,118.84,PLN
2012-12-19,119.22,PLN
2012-12-20,119.28,PLN
2012-12-21,118.90,PLN
2012-12-27,118.96,PLN
2012-12-28,118.22,PLN
2013-01-02,121.10,PLN
2013-01-03,121.88,PLN
2013-01-04,122.62,PLN
2013-01-07,122.52,PLN
2013-01-08,122.08,PLN
2013-01-09,123.12,PLN
2013-01-10,123.34,PLN
2013-01-11,122.88,PLN
2013-01-14,121.82,PLN
2013-01-15,121.52,PLN
2013-01-16,121.31,PLN
2013-01-17,122.51,PLN
2013-01-18,122.32,PLN
2013-01-21,122.75,PLN
2013-01-22,122.65,PLN
2013-01-23,122.91,PLN
2013-01-24,123.05,PLN
2013-01-25,122.95,PLN
2013-01-28,122.89,PLN
2013-01-29,123.23,PLN
2013-01-30,122.34,PLN
2013-01-31,121.66,PLN
2013-02-01,121.95,PLN
2013-02-04,120.36,PLN
2013-02-05,120.86,PLN
2013-02-06,120.90,PLN
2013-02-07,120.97,PLN
2013-02-08,122.38,PLN
2013-02-11,122.41,PLN
2013-02-12,122.78,PLN
2013-02-13,123.56,PLN
2013-02-14,123.31,PLN
2013-02-15,123.07,PLN
2013-02-18,122.73,PLN
2013-02-19,123.93,PLN
2013-02-20,123.05,PLN
2013-02-21,121.22,PLN
2013-02-22,122.70,PLN
2013-02-25,123.00,PLN
2013-02-26,121.27,PLN
2013-02-27,122.33,PLN
2013-02-28,123.09,PLN
2013-03-01,122.24,PLN
2013-03-04,121.90,PLN
2013-03-05,124.18,PLN
2013-03-06,123.80,PLN
2013-03-07,123.70,PLN
2013-03-08,124.97,PLN
2013-03-11,124.41,PLN
2013-03-12,124.52,PLN
2013-03-13,124.26,PLN
2013-03-14,125.62,PLN
2013-03-15,125.26,PLN
2013-03-18,124.84,PLN
2013-03-19,124.17,PLN
2013-03-20,124.85,PLN
2013-03-21,124.59,PLN
2013-03-22,124.53,PLN
2013-03-25,123.49,PLN
2013-03-26,123.70,PLN
2013-03-27,122.87,PLN
2013-03-28,122.93,PLN
2013-04-02,123.99,PLN
2013-04-03,122.44,PLN
2013-04-04,121.94,PLN
2013-04-05,120.94,PLN
2013-04-08,120.97,PLN
2013-04-09,122.18,PLN
2013-04-10,124.57,PLN
2013-04-11,125.20,PLN
2013-04-12,124.52,PLN
2013-04-15,123.44,PLN
2013-04-17,120.61,PLN
2013-04-18,120.42,PLN
2013-04-19,121.29,PLN
2013-04-22,121.61,PLN
2013-04-23,124.49,PLN
2013-04-24,125.73,PLN
2013-04-25,126.99,PLN
2013-04-26,126.57,PLN
2013-04-29,127.26,PLN
2013-04-30,127.17,PLN
2013-05-02,127.34,PLN
2013-05-06,129.05,PLN
2013-05-07,129.24,PLN
2013-05-08,129.66,PLN
2013-05-09,129.57,PLN
2013-05-10,130.20,PLN
2013-05-13,130.03,PLN
2013-05-14,130.65,PLN
2013-05-15,131.53,PLN
2013-05-16,131.43,PLN
2013-05-17,131.63,PLN
2013-05-20,132.20,PLN
2013-05-21,132.31,PLN
2013-05-22,132.78,PLN
2013-05-23,130.40,PLN
2013-05-24,129.97,PLN
2013-05-27,130.39,PLN
2013-05-28,132.21,PLN
2013-05-29,130.52,PLN
2013-05-31,130.38,PLN
2013-06-03,129.66,PLN
2013-06-04,129.95,PLN
2013-06-05,128.31,PLN
2013-06-06,127.12,PLN
2013-06-07,128.48,PLN
2013-06-10,128.54,PLN
2013-06-11,126.99,PLN
2013-06-12,126.41,PLN
2013-06-13,126.67,PLN
2013-06-14,127.06,PLN
2013-06-17,128.07,PLN
2013-06-18,127.98,PLN
2013-06-19,127.37,PLN
2013-06-20,124.06,PLN
2013-06-21,122.78,PLN
2013-06-24,121.16,PLN
2013-06-25,122.65,PLN
2013-06-26,124.34,PLN
2013-06-27,125.03,PLN
2013-06-28,124.47,PLN
2013-07-01,125.39,PLN
2013-07-02,124.94,PLN
2013-07-03,124.17,PLN
2013-07-04,126.77,PLN
2013-07-05,125.50,PLN
2013-07-08,127.10,PLN
2013-07-09,128.28,PLN
2013-07-10,128.38,PLN
2013-07-11,129.08,PLN
2013-07-12,128.84,PLN
2013-07-15,129.16,PLN
2013-07-16,128.68,PLN
2013-07-17,129.85,PLN
2013-07-18,131.18,PLN
2013-07-19,131.38,PLN
2013-07-22,131.55,PLN
2013-07-23,131.75,PLN
2013-07-24,132.42,PLN
2013-07-25,131.79,PLN
2013-07-26,131.55,PLN
2013-07-29,131.54,PLN
