Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2012-03-27,125.25,PLN
2012-03-28,124.65,PLN
2012-03-29,124.35,PLN
2012-03-30,124.69,PLN
2012-04-02,126.12,PLN
2012-04-03,125.06,PLN
2012-04-04,124.08,PLN
2012-04-05,123.64,PLN
2012-04-10,121.29,PLN
2012-04-11,122.21,PLN
2012-04-12,123.68,PLN
2012-04-13,122.52,PLN
2012-04-16,122.53,PLN
2012-04-17,123.74,PLN
2012-04-18,123.22,PLN
2012-04-19,122.94,PLN
2012-04-20,123.07,PLN
2012-04-23,121.95,PLN
2012-04-24,122.37,PLN
2012-04-25,123.27,PLN
2012-04-26,124.31,PLN
2012-04-27,124.41,PLN
2012-04-30,124.26,PLN
2012-05-02,123.78,PLN
2012-05-04,121.72,PLN
2012-05-07,121.88,PLN
2012-05-08,121.33,PLN
2012-05-09,120.97,PLN
2012-05-10,121.55,PLN
2012-05-11,120.97,PLN
2012-05-14,120.23,PLN
2012-05-15,119.35,PLN
2012-05-16,119.14,PLN
2012-05-17,118.13,PLN
2012-05-18,117.39,PLN
2012-05-21,118.22,PLN
2012-05-22,118.04,PLN
2012-05-23,117.55,PLN
2012-05-24,118.01,PLN
2012-05-25,118.31,PLN
2012-05-28,118.30,PLN
2012-05-29,119.25,PLN
2012-05-30,117.68,PLN
2012-05-31,117.60,PLN
2012-06-01,115.67,PLN
2012-06-04,115.81,PLN
2012-06-05,116.31,PLN
2012-06-06,118.18,PLN
2012-06-08,118.50,PLN
2012-06-11,117.39,PLN
2012-06-12,118.20,PLN
2012-06-13,117.75,PLN
2012-06-14,118.49,PLN
2012-06-15,119.08,PLN
2012-06-18,118.99,PLN
2012-06-19,119.77,PLN
2012-06-20,119.56,PLN
2012-06-21,117.69,PLN
2012-06-22,118.19,PLN
2012-06-25,116.87,PLN
2012-06-26,116.97,PLN
2012-06-27,118.25,PLN
2012-06-28,118.43,PLN
2012-06-29,120.72,PLN
2012-07-02,121.12,PLN
2012-07-03,122.07,PLN
2012-07-04,122.07,PLN
2012-07-05,121.63,PLN
2012-07-06,120.68,PLN
2012-07-09,120.31,PLN
2012-07-10,119.73,PLN
2012-07-11,120.09,PLN
2012-07-12,119.27,PLN
2012-07-13,120.34,PLN
2012-07-16,119.96,PLN
2012-07-17,120.74,PLN
2012-07-18,121.27,PLN
2012-07-19,121.55,PLN
2012-07-20,120.47,PLN
2012-07-23,119.26,PLN
2012-07-24,118.34,PLN
2012-07-25,118.46,PLN
2012-07-26,119.40,PLN
2012-07-27,121.28,PLN
2012-07-30,121.17,PLN
2012-07-31,121.16,PLN
2012-08-01,120.69,PLN
2012-08-02,119.60,PLN
2012-08-03,121.46,PLN
2012-08-06,122.12,PLN
2012-08-07,122.92,PLN
2012-08-08,123.86,PLN
2012-08-09,124.13,PLN
2012-08-10,124.51,PLN
2012-08-13,124.20,PLN
2012-08-14,124.10,PLN
2012-08-16,125.04,PLN
2012-08-17,125.37,PLN
2012-08-20,125.60,PLN
2012-08-21,125.20,PLN
2012-08-22,124.62,PLN
2012-08-23,123.47,PLN
2012-08-24,123.92,PLN
2012-08-27,123.69,PLN
2012-08-28,123.95,PLN
2012-08-29,124.01,PLN
2012-08-30,123.53,PLN
2012-08-31,124.15,PLN
2012-09-03,124.13,PLN
2012-09-04,124.16,PLN
2012-09-05,124.23,PLN
2012-09-06,125.96,PLN
2012-09-07,126.43,PLN
2012-09-10,126.25,PLN
2012-09-11,126.76,PLN
2012-09-12,126.75,PLN
2012-09-13,128.29,PLN
2012-09-14,128.91,PLN
2012-09-17,128.49,PLN
2012-09-18,128.52,PLN
2012-09-19,128.50,PLN
2012-09-20,128.44,PLN
2012-09-21,128.29,PLN
2012-09-24,128.12,PLN
2012-09-25,127.29,PLN
2012-09-26,127.00,PLN
2012-09-27,127.66,PLN
2012-09-28,127.34,PLN
2012-10-01,127.50,PLN
2012-10-02,127.49,PLN
2012-10-03,126.78,PLN
2012-10-04,127.67,PLN
2012-10-05,127.77,PLN
2012-10-08,127.57,PLN
2012-10-09,126.65,PLN
2012-10-10,126.03,PLN
2012-10-11,126.29,PLN
2012-10-12,125.88,PLN
2012-10-15,126.44,PLN
2012-10-16,127.67,PLN
2012-10-17,128.54,PLN
2012-10-18,128.97,PLN
2012-10-19,126.98,PLN
2012-10-22,127.15,PLN
2012-10-23,125.88,PLN
2012-10-24,124.98,PLN
2012-10-25,125.74,PLN
2012-10-26,125.24,PLN
2012-10-29,125.22,PLN
2012-10-30,125.22,PLN
2012-10-31,125.58,PLN
2012-11-02,125.66,PLN
2012-11-05,125.89,PLN
2012-11-06,126.84,PLN
2012-11-07,124.66,PLN
2012-11-08,123.69,PLN
2012-11-09,123.61,PLN
2012-11-12,123.54,PLN
2012-11-13,123.05,PLN
2012-11-14,122.12,PLN
2012-11-15,122.03,PLN
2012-11-16,122.36,PLN
2012-11-19,124.10,PLN
2012-11-20,123.07,PLN
2012-11-21,123.56,PLN
2012-11-22,123.55,PLN
2012-11-23,125.38,PLN
2012-11-26,124.79,PLN
2012-11-27,124.76,PLN
2012-11-28,125.67,PLN
2012-11-29,126.26,PLN
2012-11-30,126.54,PLN
2012-12-03,125.84,PLN
2012-12-04,126.23,PLN
2012-12-05,126.90,PLN
2012-12-06,127.47,PLN
2012-12-07,127.83,PLN
2012-12-10,128.36,PLN
2012-12-11,129.00,PLN
2012-12-12,129.39,PLN
2012-12-13,129.07,PLN
2012-12-14,129.00,PLN
2012-12-17,129.57,PLN
2012-12-18,130.60,PLN
2012-12-19,129.93,PLN
2012-12-20,130.98,PLN
2012-12-21,129.85,PLN
2012-12-27,128.81,PLN
2012-12-28,127.83,PLN
2013-01-02,131.66,PLN
